ENGINE_LOAD  (percent),COOLANT_TEMP  (degC),SHORT_FUEL_TRIM_1  (percent),LONG_FUEL_TRIM_1  (percent),INTAKE_PRESSURE  (kilopascal),RPM  (revolutions_per_minute),SPEED  (kph),TIMING_ADVANCE  (degree),INTAKE_TEMP  (degC),THROTTLE_POS  (percent),,O2_B1S2  (volt),,RUN_TIME  (second),,,EVAPORATIVE_PURGE  (percent),FUEL_LEVEL  (percent),WARMUPS_SINCE_DTC_CLEAR  (count),DISTANCE_SINCE_DTC_CLEAR  (kilometer),EVAP_VAPOR_PRESSURE  (pascal),,O2_S1_WR_CURRENT  (milliampere),CATALYST_TEMP_B1S1  (degC),CATALYST_TEMP_B1S2  (degC),,,CONTROL_MODULE_VOLTAGE  (volt),ABSOLUTE_LOAD  (percent),COMMANDED_EQUIV_RATIO  (ratio),RELATIVE_THROTTLE_POS  (percent),,THROTTLE_POS_B  (percent),ACCELERATOR_POS_D  (percent),ACCELERATOR_POS_E  (percent),THROTTLE_ACTUATOR  (percent),,,SHORT_O2_TRIM_B1  (percent)
32.941,86,0.781,7.812,32,806,0,12.5,67,12.941,,0.08,,134,,,21.569,34.902,255,5751,194.75,,-0.043,367.4,344.5,,,14.172,19.216,1.001,3.529,,12.157,15.294,15.294,3.922,,,0
32.941,86,1.562,7.812,32,795,0,12,67,12.941,,0.21,,135,,,21.176,34.51,255,5751,194.75,,-0.008,367.5,344.6,,,14.172,19.608,1.001,3.529,,12.157,15.294,15.294,3.922,,,0
33.333,86,0.781,7.812,32,806,0,14,67,12.941,,0.09,,136,,,21.569,34.51,255,5751,194.75,,0,367.7,344.8,,,14.172,19.216,1.001,3.529,,12.157,15.294,15.294,3.922,,,0
32.941,86,0,7.812,32,807,0,12.5,67,12.941,,0.085,,137,,,21.569,35.294,255,5751,194.75,,-0.027,367.8,344.9,,,14.274,19.216,1.001,3.529,,12.157,15.294,15.294,3.922,,,0
32.941,86,0.781,7.812,32,801,0,20.5,67,12.941,,0.175,,137,,,21.569,35.294,255,5751,194.75,,-0.062,368,345,,,14.274,19.608,1.001,3.529,,12.157,15.294,15.294,3.922,,,0
33.725,86,0.781,7.812,33,801,0,20,67,12.941,,0.195,,138,,,21.961,35.686,255,5751,194.75,,0.059,368.1,345.2,,,14.274,22.353,1.001,3.922,,12.549,15.294,15.294,4.314,,,0
36.471,86,3.125,6.25,36,808,0,10.5,67,13.333,,0.055,,139,,,24.314,37.255,255,5751,194.75,,0.109,368.2,345.8,,,13.968,29.02,1.001,6.275,,14.51,15.294,15.294,7.451,,,0
51.373,86,5.469,3.906,50,973,0,5.5,67,14.51,,0.055,,140,,,36.863,34.902,255,5751,98.25,,0.094,368,347,,,14.172,27.843,1.001,4.706,,12.941,15.294,15.294,4.706,,,0
45.49,86,7.031,5.469,44,737,0,3,67,13.725,,0.06,,141,,,25.882,35.686,255,5751,33.25,,-0.086,368,347.7,,,14.07,28.627,1.002,4.314,,12.549,15.294,15.294,5.098,,,0
46.667,86,3.906,5.469,46,674,0,2.5,67,13.725,,0.79,,142,,,24.706,35.294,255,5751,146,,-0.121,368,348.2,,,14.274,27.059,1.002,3.529,,12.157,15.294,15.294,3.922,,,0
43.137,86,3.125,6.25,42,669,0,1.5,67,12.941,,0.73,,143,,,22.353,35.294,255,5751,98.25,,-0.078,368,348.2,,,14.274,25.882,1.002,3.529,,12.157,15.294,15.294,3.922,,,0
41.569,86,0,6.25,41,641,0,4.5,67,12.941,,0.775,,144,,,21.569,34.902,255,5751,114.5,,-0.191,368.2,348,,,14.376,24.706,1.002,3.922,,12.549,15.294,15.294,4.314,,,0
40.784,86,-0.781,6.25,40,731,0,10,67,13.333,,0.78,,145,,,24.314,33.725,255,5751,98.25,,-0.043,368.2,348.2,,,14.274,24.706,1.001,3.922,,12.549,15.294,15.294,4.314,,,0
40,86,0,6.25,39,738,0,12.5,67,13.333,,0.17,,146,,,23.922,34.118,255,5751,98.25,,0.031,368.3,348.5,,,14.07,24.706,1.001,3.922,,12.549,15.294,15.294,4.314,,,0
40,86,0,6.25,39,738,0,13,67,13.333,,0.11,,146,,,23.922,34.51,255,5751,98.25,,-0.062,368.4,348.6,,,14.172,24.314,1.001,3.922,,12.549,15.294,15.294,4.314,,,0
40,86,0,6.25,39,723,1,17,67,13.333,,0.665,,147,,,23.922,38.824,255,5751,98.25,,0,368.5,348.7,,,14.274,24.706,1.002,3.922,,12.549,15.294,15.294,3.529,,,0
39.608,86,0,6.25,39,653,0,6.5,67,12.941,,0.08,,148,,,21.961,34.51,255,5751,98.25,,0.051,368.5,348.5,,,14.274,27.843,1.002,3.922,,12.549,15.294,15.294,5.098,,,0
44.706,86,0,5.469,43,826,0,0,67,13.333,,0.07,,149,,,28.235,32.549,255,5751,98.25,,0.051,368.5,348.9,,,14.172,25.098,1.002,4.314,,12.941,15.294,15.294,5.49,,,0
44.706,86,2.344,5.469,44,712,1,11,67,14.118,,0.075,,150,,,27.843,30.98,255,5751,98.25,,0.008,368.6,349.4,,,14.274,28.235,1.002,4.314,,12.941,15.294,15.294,4.706,,,0
45.49,86,2.344,5.469,44,747,3,10.5,67,13.725,,0.065,,151,,,27.059,34.902,255,5751,146,,-0.035,368.6,349.7,,,14.274,27.843,1.002,4.314,,12.941,15.294,15.294,5.098,,,0
45.882,86,1.562,5.469,45,797,4,5,67,13.725,,0.715,,152,,,27.843,35.294,255,5751,129.75,,-0.062,368.6,350,,,14.172,27.059,1.001,4.314,,12.157,15.294,15.294,4.314,,,0
41.569,86,0.781,5.469,40,794,5,1,67,14.118,,0.145,,153,,,25.882,37.255,255,5751,146,,-0.035,368.6,350.3,,,14.274,26.275,1.001,4.314,,12.941,15.294,15.294,4.706,,,0
42.353,86,0,5.469,41,797,5,8,67,13.725,,0.75,,154,,,26.667,35.686,255,5751,146,,-0.035,368.7,350.5,,,14.274,25.098,1.001,4.706,,14.51,24.314,23.922,7.451,,,0
49.02,86,0.781,3.906,50,1016,5,21,67,16.471,,0.07,,154,,,50.98,36.863,255,5751,81,,-0.867,368.6,350.7,,,14.274,39.216,1.001,8.235,,16.471,25.882,25.49,9.804,,,0
64.314,87,-1.562,0.781,64,1473,9,23,67,18.039,,0.035,,155,,,74.118,40,255,5751,-194.25,,0.016,368.7,350.7,,,14.274,40.392,1.001,9.804,,17.647,26.275,25.49,11.373,,,-13.281
67.059,87,-1.562,0.781,65,1778,14,29,67,18.431,,0.38,,156,,,85.098,41.961,255,5751,-194.25,,0.008,369.4,350.8,,,14.376,36.863,1.002,10.196,,18.039,26.275,25.49,11.765,,,0
61.176,87,3.125,0.781,61,2116,17,19,67,20.784,,0.82,,157,,,95.294,39.216,255,5751,-292.75,,0.117,371.3,351.3,,,14.376,50.196,0.999,12.549,,20,27.451,27.059,14.118,,,-3.906
72.941,87,4.688,0.781,72,1828,22,8,66,20.784,,0.75,,158,,,95.294,39.608,255,5751,-454.25,,-0.043,373.6,352.6,,,14.274,50.588,0.999,12.549,,20,27.451,27.059,14.51,,,-2.344
74.118,87,3.906,0.781,73,1901,25,14,66,20.784,,0.305,,159,,,95.294,38.431,255,5751,-454.25,,-0.16,376.8,355.2,,,14.274,49.02,1,10.196,,17.647,25.098,24.314,11.373,,,-4.688
61.176,87,0.781,0.781,59,2014,29,31.5,66,19.216,,0.77,,160,,,95.294,36.863,255,5751,-422.75,,0.043,380.8,358,,,14.274,43.137,1,11.765,,19.216,26.667,25.882,12.941,,,-2.344
